Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2015-03-02,176.55657092748308,177.6287418951879,176.50631491044786,177.5701141357422,87491400,2,0,10,3,2015
2015-03-03,177.13456206416546,177.620391589617,175.97025066428105,176.8413848876953,110325800,3,1,10,3,2015
2015-03-04,176.23826728158977,176.313664089072,175.1158402872729,176.0958709716797,114497200,4,2,10,3,2015
2015-03-05,176.42255549310704,176.57333633330344,175.7775861993891,176.28854370117188,76873000,5,3,10,3,2015
2015-03-06,175.41736882757394,175.85294223055243,173.4740639504045,173.80911254882812,188128000,6,4,10,3,2015
2015-03-09,174.01019645439155,174.88970245852138,173.8510438536326,174.52952575683594,89818900,9,0,11,3,2015
2015-03-10,173.14740461282082,173.23116038025887,171.65640368950514,171.6982879638672,157121300,10,1,11,3,2015
2015-03-11,171.95795968050834,172.1338685275873,171.21246557867195,171.29623413085938,110145700,11,2,11,3,2015
2015-03-12,171.9328486787423,173.5411053457946,171.88259265497314,173.47410583496094,93993500,12,3,11,3,2015
2015-03-13,173.19768730453538,174.16933360043825,171.3632657240094,172.41030883789062,162410900,13,4,11,3,2015
2015-03-16,173.14743372189972,174.80594645891622,172.43543928190434,174.71380615234375,136099200,16,0,12,3,2015
2015-03-17,173.9683236156841,174.57979326503525,173.37359745498603,174.19448852539062,94510400,17,1,12,3,2015
2015-03-18,173.71699992528357,176.9670255288387,173.07201785027883,176.28854370117188,228808500,18,2,12,3,2015
2015-03-19,175.86976883940838,176.29695789045866,175.09076200362276,175.4844512939453,117917300,19,3,12,3,2015
2015-03-20,176.4444730220691,177.54667044463486,176.25936979280766,177.03343200683594,177715100,20,4,12,3,2015
2015-03-23,177.04180610710424,177.62235586239314,176.6884307861328,176.6884307861328,71784500,23,0,13,3,2015
2015-03-24,176.56224667416964,177.0249918614251,175.62832150917967,175.6956329345703,77805300,24,1,13,3,2015
2015-03-25,175.90597469767658,176.14155826519422,173.07895904912348,173.1210174560547,159521700,25,2,13,3,2015
2015-03-26,172.44791650608494,173.63424337223194,171.74115301592468,172.708740234375,153067200,26,3,13,3,2015
2015-03-27,172.59094866763274,173.28086825571685,172.39742352070445,173.10418701171875,118939000,27,4,13,3,2015
2015-03-30,174.14745564872817,175.51889834317322,174.130637425017,175.21600341796875,96180400,30,0,14,3,2015
2015-03-31,174.3830337954885,175.08979715809954,173.62580292495892,173.6846923828125,126768700,31,1,14,3,2015
2015-04-01,173.65106058133833,173.67630075700797,172.06927443489747,173.0705108642578,137303600,1,2,14,4,2015
2015-04-02,173.0032133260725,174.14748178878767,172.81811013075531,173.69314575195312,86900900,2,3,14,4,2015
2015-04-06,172.79288626376007,175.3843184044772,172.65827624946525,174.8626708984375,114368200,6,0,15,4,2015
2015-04-07,174.88786992338618,175.6451008241753,174.3662225401021,174.39987182617188,81236300,7,1,15,4,2015
2015-04-08,174.6270766328106,175.43478802248939,174.2316300513679,174.98886108398438,89351900,8,2,15,4,2015
2015-04-09,174.8206203087961,175.99853831269354,174.3242129241781,175.76295471191406,85548900,9,3,15,4,2015
2015-04-10,176.01534098647753,176.76416291923064,175.81341955457907,176.7220916748047,72722900,10,4,15,4,2015
2015-04-13,176.57904554625006,177.21849759819753,175.87229491463046,175.9227752685547,74436600,13,0,16,4,2015
2015-04-14,175.72085985475528,176.4444415751776,175.08982973246864,176.25933837890625,75099900,14,1,16,4,2015
2015-04-15,176.73050347987441,177.56345501531496,176.64636099585348,177.0502166748047,99529300,15,2,16,4,2015
2015-04-16,176.71367668934104,177.51297895350922,176.51174242581126,176.99974060058594,68934900,16,3,16,4,2015
2015-04-17,175.79655680075504,176.0405494330983,174.17269949468104,174.96359252929688,191113200,17,4,16,4,2015
2015-04-20,175.8975787243723,176.89881545336817,175.813449059743,176.56227111816406,92189500,20,0,17,4,2015
2015-04-21,177.25211519044277,177.4119781748417,176.0489575092726,176.3518524169922,72559800,21,1,17,4,2015
2015-04-22,176.69683034117324,177.40359378322597,175.76290531543117,177.21849060058594,78264600,22,2,17,4,2015
2015-04-23,176.81467882939236,178.32074494961375,176.69688702432006,177.6644744873047,102585900,23,3,17,4,2015
2015-04-24,178.08508210608628,178.34590578424792,177.62232420692624,178.07666015625,61327400,24,4,17,4,2015
2015-04-27,178.6488290007448,178.77502988490204,177.14276331198704,177.33628845214844,79358100,27,0,18,4,2015
2015-04-28,177.3110350836677,177.95047424639162,176.12469550749034,177.89999389648438,86863500,28,1,18,4,2015
2015-04-29,176.99972956474775,177.77379160250496,176.35188124820513,177.1680145263672,125684900,29,2,18,4,2015
2015-04-30,176.5874181271608,176.98286457346194,174.68590640537138,175.39266967773438,161304900,30,3,18,4,2015
2015-05-01,176.18357049306513,177.33626068737055,176.08260980154628,177.294189453125,103399700,1,4,18,5,2015
2015-05-04,177.7233236334939,178.38801589852372,177.61395380682822,177.79905700683594,70927200,4,0,19,5,2015
2015-05-05,177.5550847391626,177.91688209358043,175.61992272846533,175.76295471191406,113326200,5,1,19,5,2015
2015-05-06,176.31825921251627,176.62956335328573,173.96241043590214,175.03936767578125,135060200,6,2,19,5,2015
2015-05-07,174.93835348782315,176.16676428454488,174.60180926758275,175.73765563964844,88244900,7,3,19,5,2015
2015-05-08,177.42882926945137,178.25337161865582,177.3446867928973,178.0514373779297,155877300,8,4,19,5,2015
2015-05-11,178.00933831996068,178.27857107442898,177.12589387128267,177.2016143798828,75708100,11,0,20,5,2015
