Date,Tone,Positive_Score,Negative_Score,Polarity,Activity_Ref_Density,Self_Group_Density
2015-03-02,-1.367157184880924,2.470315014763698,3.8374721996446217,6.30778721440832,22.674455656803243,0.787611187933956
2015-03-03,-1.189407744812034,2.5424463022466437,3.731854047058678,6.274300349305321,22.636244318579937,0.7774303391732237
2015-03-04,-1.320175345873935,2.4945188432228482,3.8146941890967834,6.309213032319632,22.626283761758085,0.7594876505325577
2015-03-05,-1.5353622343445255,2.4552056786728826,3.9905679130174083,6.445773591690292,22.80797472935283,0.7740747755265949
2015-03-06,-1.447774826923357,2.5003629549423856,3.948137781865743,6.448500736808128,22.892179769909717,0.8387677109229443
2015-03-09,-1.265030512396863,2.548782689764632,3.8138132021614948,6.3625958919261265,22.726701297978366,0.815017749083331
2015-03-10,-1.4758507082572068,2.4710385469553935,3.9468892552126005,6.417927802167995,22.831018267783904,0.7895871335113065
2015-03-11,-1.4821639499625388,2.478787138159172,3.9609510881217114,6.439738226280882,22.83210586732028,0.7857712898955405
2015-03-12,-1.4521770108632472,2.4855486181066087,3.9377256289698566,6.423274247076464,22.722009936488682,0.7960318338298075
2015-03-13,-1.292711562396137,2.5382486558075272,3.830960218203664,6.369208874011193,22.72959987232771,0.8350662224885614
2015-03-16,-1.2028085434637876,2.532183655708395,3.7349921991721824,6.267175854880578,22.983415316991287,0.7930832581591533
2015-03-17,-1.3200321786440963,2.527351508568985,3.8473836872130813,6.374735195782066,22.96862999081792,0.7992244426341358
2015-03-18,-1.3937432743827276,2.5269823498919917,3.920725624274719,6.447707974166711,22.920782759735452,0.8629509011548718
2015-03-19,-1.546320776222849,2.48544226605476,4.031763042277608,6.517205308332368,22.97844995382666,0.848043828119616
2015-03-20,-1.5974605902481789,2.4699494431091695,4.067410033357349,6.537359476466518,23.05967210107716,0.8356280574293722
2015-03-23,-1.3024619963804684,2.4852812371829973,3.787743233563466,6.273024470746463,22.78294608956572,0.7992694877441437
2015-03-24,-1.2998931945663663,2.48818704872934,3.788080243295706,6.276267292025047,22.82673016696641,0.7854145612160806
2015-03-25,-1.3902463741508255,2.5102534895174076,3.900499863668233,6.41075335318564,22.927393309805883,0.8119015702165552
2015-03-26,-1.37202940559185,2.5651341538853383,3.9371635594771877,6.502297713362527,22.8077233491415,0.8547933742212196
2015-03-27,-1.394438642337279,2.609545014555036,4.0039836568923155,6.613528671447351,22.70045176249729,0.890838957441397
2015-03-30,-1.238052490279647,2.571486516084489,3.8095390063641363,6.381025522448626,22.561397333764727,0.8145894904977805
2015-03-31,-1.2235323817679395,2.5725055321642722,3.7960379139322122,6.368543446096485,22.558137943379997,0.8321995318005517
2015-04-01,-1.365575764166933,2.5557094547799393,3.9212852189468723,6.476994673726812,22.526587147201734,0.8191804236393455
2015-04-02,-1.445516101451523,2.6009342908493243,4.046450392300847,6.647384683150173,22.677255235934698,0.8620942661670479
2015-04-03,-1.2503282758901688,2.6305764912301464,3.880904767120316,6.511481258350462,22.785529545130114,0.9191915665240554
2015-04-06,-1.4932858315772854,2.5144210764120647,4.00770690798935,6.522127984401415,22.796325914280853,0.8461362254887425
2015-04-07,-1.522672338655668,2.4873837563731955,4.0100560950288635,6.497439851402059,22.875703662933436,0.8673105347859349
2015-04-08,-1.4173487103287403,2.5320593282616466,3.949408038590388,6.481467366852034,22.854765107591348,0.8737775218404115
2015-04-09,-1.4604366439216463,2.5416003117231765,4.002036955644822,6.543637267367998,22.74324687692277,0.8464959970297179
2015-04-10,-1.411638392346697,2.512337009705647,3.923975402052344,6.436312411757991,22.627796892919957,0.8112504704015072
2015-04-13,-1.4832300469034587,2.482611285683965,3.965841332587423,6.448452618271388,23.036465633147742,0.8033090798721083
2015-04-14,-1.4479019733802143,2.499611631546814,3.947513604927028,6.447125236473842,22.83437481907789,0.7881914532365215
2015-04-15,-1.4187959918403674,2.520699565330334,3.939495557170702,6.460195122501035,22.79299399100235,0.790837435792055
2015-04-16,-1.4357467509017992,2.520295901649174,3.956042652550973,6.476338554200146,22.937691784845633,0.8363909017730392
2015-04-17,-1.3704820092340286,2.541514807046061,3.911996816280089,6.45351162332615,22.91325059607655,0.9260838796520842
2015-04-20,-1.4122019051079078,2.5519847200478525,3.9641866251557603,6.516171345203612,22.881887143566427,0.825819083266957
2015-04-21,-1.7141486765258425,2.4535808401103636,4.167729516636205,6.621310356746571,22.87987093051395,0.7902559516159735
2015-04-22,-1.8189087145628315,2.4115186559906823,4.230427370553514,6.641946026544197,22.82240050093791,0.7765399373763622
2015-04-23,-1.548870432589271,2.503128285607929,4.0519987181972,6.55512700380513,22.799243063061585,0.8373615959235607
2015-04-24,-1.3893017579302378,2.5575640703165017,3.946865828246739,6.504429898563241,22.750255675004667,0.9329365665084831
2015-04-27,-1.6592194020796573,2.4973179398618104,4.156537341941468,6.653855281803279,22.946786270180272,0.8686103194199986
2015-04-28,-1.4618792632190183,2.5445311461547817,4.0064104093738,6.550941555528582,22.717652901385552,0.8339319667458651
2015-04-29,-1.315685607006243,2.575053468046576,3.890739075052819,6.465792543099396,22.61945774998112,0.7667094581058371
2015-04-30,-1.3157781576659362,2.6038382733965966,3.919616431062533,6.52345470445913,22.853046409097722,0.8221823571642035
2015-05-01,-1.3252386973231929,2.6672171128337627,3.9924558101569554,6.659672922990718,22.880336808688046,0.8964547145977747
2015-05-04,-1.4314328689941551,2.642903409996176,4.074336278990331,6.717239688986506,23.213606134354816,0.858727332231134
2015-05-05,-1.478229893672046,2.5688454284299453,4.047075322101992,6.615920750531938,22.966058844977344,0.8321231878055616
